word,start,end,case
they,1.43,1.67,success
applauded,1.67,2.25,success
the,2.25,2.36,success
demo,2.36,3.04,success
felt,3.13,3.62,success
good,3.8,4.4399999999999995,success
i,5.51,5.6499999999999995,success
usually,5.65,6.19,success
say,6.19,6.54,success
i,6.59,6.8,success
draw,6.8,7.07,success
the,7.07,7.220000000000001,success
architecture,7.22,8.0,success
because,8.099999,8.449999,success
it's,8.45,8.7,success
what,8.7,8.879999999999999,success
people,8.9,9.51,success
expect,9.639999,10.529999,success
but,10.8,11.020000000000001,success
behind,11.02,11.61,success
the,11.61,11.77,success
applause,11.77,12.45,success
i,12.71,13.020000000000001,success
mostly,13.049999,13.639999,success
copied,13.86,14.559999999999999,success
patterns,14.78,15.549999999999999,success
reused,15.75,16.62,success
scripts,16.699999,17.579998999999997,success
and,17.940001,18.240001,success
assembled,18.24,19.189999999999998,success
other,19.26,19.680000000000003,success
people's,19.680000000000003,20.460000000000004,success
modules,20.760000000000005,22.510000000000005,success
once,23.960000000000004,24.370000000000005,success
in,24.370000000000005,24.470000000000002,success
a,24.470000000000002,24.540000000000003,success
while,24.540000000000003,24.980000000000004,success
i,25.140000000000004,25.35,success
told,25.35,25.680000000000003,success
myself,25.680000000000003,26.200000000000003,success
that,26.200000000000003,26.340000000000003,success
stitching,26.340000000000003,26.830000000000005,success
counts,26.85,27.28,success
as,27.28,27.6,success
designing,27.840000000000003,28.810000000000002,success
it's,29.310000000000002,29.540000000000006,success
not,29.540000000000003,29.690000000000005,success
a,29.690000000000005,29.750000000000004,success
lie,29.750000000000004,30.130000000000003,success
so,30.239999000000005,30.449999000000005,success
much,30.450000000000003,30.67,success
as,30.67,30.840000000000003,success
a,30.840000000000003,30.990000000000002,success
convenience,31.330000000000005,32.260000000000005,success
