word,start,end,case
Hmm,,,not-found-in-audio
<unk>,0.09,0.29000000000000004,success
<unk>,0.57,0.8899999999999999,success
funny,1.28,1.65,success
thing,1.66,2.21,success
when,2.54,2.87,success
i,2.91,3.2,success
was,3.2,3.47,success
seven,3.47,3.93,success
i,4.14,4.39,success
made,4.39,4.67,success
a,4.67,4.77,success
boat,4.78,5.24,success
out,5.43,5.609999999999999,success
of,5.61,5.74,success
mismatched,5.75,6.42,success
toys,6.47,7.06,success
and,7.06,7.199999999999999,success
it,7.2,7.3,success
sort,7.3,7.56,success
of,7.56,7.6899999999999995,success
held,7.82,8.17,success
together,8.17,8.85,success
not,9.78,10.09,success
that,10.09,10.23,success
it,10.23,10.34,success
matters,10.349999,10.939999,success
but,11.16,11.39,success
building,11.41,11.84,success
that,11.84,12.06,success
way,12.059999,12.279999,success
stuck,12.28,12.61,success
with,12.63,12.9,success
me,12.929999,13.299999,success
quick,13.53,13.75,success
fixes,13.77,14.34,success
duct,14.44,14.67,success
tape,14.67,14.93,success
elegance,14.929999,15.549999,success
so,16.34,16.96,success
when,17.129999,17.409999000000003,success
people,17.41,17.87,success
ask,17.9,18.4,success
about,18.4,18.939999999999998,success
ownership,19.279999999999998,20.019999999999996,success
of,20.089999999999996,20.319999999999997,success
systems,20.319999999999997,20.979999999999997,success
i,21.27,21.53,success
say,21.54,21.86,success
i,21.86,22.009999999999998,success
built,22.02,22.259999999999998,success
parts,22.3,22.67,success
of,22.67,22.830000000000002,success
things,22.83,23.319999999999997,success
stitched,23.34,23.83,success
services,23.84,24.47,success
together,24.47,24.959999999999997,success
and,25.08,25.25,success
occasionally,25.25,25.89,success
owned,25.93,26.33,success
a,26.4,26.5,success
small,26.5,26.97,success
feature,26.98,27.830000000000002,success
sometimes,27.969999,28.469999,success
i,28.469999,28.559999,success
talk,28.59,28.82,success
about,28.83,29.09,success
entire,29.09,29.44,success
projects,29.439999999999998,30.119999999999997,success
because,30.46,30.76,success
it's,30.759999,30.919999,success
simpler,30.92,31.380000000000003,success
to,31.509999,31.639999,success
tell,31.639999,31.819999,success
a,31.82,31.9,success
story,31.9,32.449999999999996,success
than,32.45,32.61,success
to,32.61,32.76,success
read,32.759999,33.179999,success
the,33.179999,33.259999,success
commit,33.259999,33.609999,success
history,33.61,34.16,success
it,34.719999,34.949999,success
gets,34.980000000000004,35.27,success
messy,35.279999000000004,35.79999900000001,success
