word,start,end,case
so,0.07,0.54,success
i,1.35,1.4400000000000002,success
mean,1.44,1.76,success
i've,1.84,2.38,success
been,2.38,2.52,success
around,2.52,2.82,success
code,2.82,3.1199999999999997,success
for,3.13,3.44,success
a,4.66,4.82,success
while,4.82,5.48,success
you,6.28,6.46,success
know,6.46,6.63,success
not,6.63,6.87,success
exactly,6.87,7.35,success
six,7.35,7.6899999999999995,success
years,7.69,8.32,success
more,8.47,8.75,success
like,8.75,9.23,success
something,10.01,10.42,success
that,10.42,10.56,success
adds,10.559999,10.809999,success
up,10.809999,11.029999,success
if,11.03,11.17,success
you,11.17,11.32,success
count,11.36,11.66,success
all,11.67,11.83,success
the,11.83,11.93,success
little,11.929999,12.199999,success
gigs,12.21,12.73,success
i,14.19,14.26,success
did,14.259999,14.429999,success
a,14.429999,14.439999,success
lot,14.44,14.639999999999999,success
of,14.639999,14.689999,success
<unk>,14.69,15.33,success
sometimes,15.509999,15.979999000000001,success
full,15.98,16.2,success
modules,16.199999,16.719998999999998,success
sometimes,16.73,17.27,success
just,17.27,17.669999999999998,success
fixes,18.17,18.880000000000003,success
little,19.18,19.49,success
patches,19.49,20.09,success
here,20.09,20.259999999999998,success
and,20.259999999999998,20.4,success
there,20.4,20.75,success
people,22.58,22.86,success
say,22.86,23.06,success
lead,23.06,23.4,success
but,,,not-found-in-audio
i,23.57,23.64,success
think,23.64,23.91,success
it's,23.91,24.07,success
easier,24.07,24.4,success
to,24.4,24.52,success
say,24.52,24.77,success
that,24.77,25.0,success
than,25.0,25.15,success
to,25.15,25.279999999999998,success
explain,25.28,25.77,success
all,25.77,25.919999999999998,success
the,25.92,26.01,success
back,26.02,26.259999999999998,success
and,26.259999999999998,26.409999999999997,success
forth,26.41,26.85,success
it's,28.179999000000002,28.479999000000003,success
complicated,28.48,29.3,success
maybe,30.3,30.71,success
three,30.71,31.07,success
ish,31.07,31.27,success
if,31.27,31.38,success
you,31.380000000000003,31.490000000000002,success
only,31.490000000000002,31.720000000000002,success
count,31.719999,31.949999000000002,success
the,31.95,32.03,success
proper,32.03,32.36,success
stuff,32.36,32.82,success
