word,start,end,case
right,1.92,2.59,success
six,2.94,3.33,success
years,3.33,4.0600000000000005,success
absolutely,4.57,5.630000000000001,success
well,6.59,7.279999999999999,success
six,7.87,8.290000000000001,success
if,8.29,8.42,success
you,8.42,8.55,success
group,8.55,8.8,success
internships,8.8,9.5,success
and,9.5,9.68,success
tiny,9.679999,9.999999,success
consults,10.0,10.63,success
together,10.63,11.21,success
no,11.96,12.25,success
actually,12.25,13.02,success
three,13.09,13.41,success
full,13.41,13.7,success
time,13.7,14.16,success
maybe,14.52,14.86,success
four,14.86,15.27,success
counting,15.27,15.69,success
freelance,15.69,16.48,success
so,17.779999,18.339999,success
i,18.369999,18.529999,success
led,18.529999,18.759999,success
some,18.76,18.970000000000002,success
sprints,18.969999,19.709999,success
i,20.119999,20.229999,success
mean,20.229999,20.479999,success
i,20.479999,20.569999,success
coordinated,20.569999,21.539999,success
coordinated,21.869999,22.959999,success
is,23.009999,23.249999,success
different,23.249999,23.609999,success
from,23.619999,23.849999,success
led,23.849999,24.299999,success
and,25.019999,25.189999,success
sometimes,25.189999,25.769999,success
i,25.769999,25.849999,success
was,25.849999,26.029999,success
the,26.029999,26.169999,success
only,26.169999,26.469999,success
one,26.469999,26.749999,success
who,26.759999,26.889999,success
merged,26.889999,27.269999,success
the,27.289999,27.399999,success
final,27.399999,27.769999,success
branch,27.769998,28.359997999999997,success
sorry,29.389998,30.019998,success
that,30.409999,30.629998999999998,success
came,30.629998999999998,30.869999,success
out,30.869999,31.049999,success
awkward,31.059998,31.699998,success
