word,start,end,duration,f0_mean,f0_median,f0_std,voiced_fraction,jitter_approx,rms_mean,rms_std
hi,0.24,0.48,0.24,,,,0.0,,0.12083059549331665,0.06293037533760071
guys,0.48,1.09,0.6100000000000001,245.74276460841568,231.7432938897914,38.330490320144975,0.8205128205128205,0.018834442569620687,0.1102520003914833,0.056782275438308716
this,1.17,1.64,0.47,223.05868448302456,207.65234878997256,56.31823244815246,0.6333333333333333,0.043544135744177107,0.0944724902510643,0.08060329407453537
is,1.65,1.85,0.20000000000000018,170.47152062479762,175.11988035748246,8.35011642255481,0.6153846153846154,0.031295974230777346,0.06389477849006653,0.03005923330783844
the,1.85,1.97,0.11999999999999988,156.50943624106432,156.46466200170096,3.733619984442931,0.625,0.018826038125368767,0.05094218626618385,0.004402953665703535
first,1.97,2.48,0.51,223.07077794947438,218.73289323986043,17.985459389886344,0.40625,0.021852721009063842,0.06537330895662308,0.05924833193421364
text,2.55,2.86,0.31000000000000005,223.44088906248834,220.63722351746387,6.010882551065766,0.4,0.01145526161323001,0.052259933203458786,0.03689126297831535
to,2.88,3.03,0.1499999999999999,242.6384406292404,246.94165062806206,10.102389726277282,0.5,0.029681607778423155,0.06962937861680984,0.020010851323604584
audio,3.03,3.46,0.43000000000000016,197.63988849602273,202.9400285109179,12.515486349873584,0.8148148148148148,0.008391710375893466,0.14114823937416077,0.03552740439772606
speaker,3.46,4.06,0.5999999999999996,191.1115309100216,193.74649219115264,17.17823686351186,0.23684210526315788,0.0423111033052135,0.04778622090816498,0.03106958046555519
