word,start,end
"Hmm,",0.0,0.512
"hmm,",0.512,1.024
"hmm,",1.024,1.536
funny,1.536,2.048
thing.,2.048,2.56
When,2.56,2.9367
I,2.9367,3.3133
was,3.3133,3.69
"seven,",3.69,4.0667
I,4.0667,4.4433
made,4.4433,4.82
a,4.82,5.1967
boat,5.1967,5.5733
out,5.5733,5.95
of,5.95,6.3267
mismatched,6.3267,6.7033
toys,6.7033,7.08
and,7.08,7.5267
it,7.5267,7.9733
sort,7.9733,8.42
of,8.42,8.8667
held,8.8667,9.3133
together.,9.3133,9.76
Not,9.76,10.1018
that,10.1018,10.4436
it,10.4436,10.7855
"matters,",10.7855,11.1273
but,11.1273,11.4691
building,11.4691,11.8109
that,11.8109,12.1527
way,12.1527,12.4945
stuck,12.4945,12.8364
with,12.8364,13.1782
me.,13.1782,13.52
Quick,13.52,14.08
"fixes,",14.08,14.64
duct,14.64,15.2
tape,15.2,15.76
elegance.,15.76,16.32
"So,",16.32,16.945
when,16.945,17.57
people,17.57,18.195
ask,18.195,18.82
about,18.82,19.445
ownership,19.445,20.07
of,20.07,20.695
"systems,",20.695,21.32
I,21.32,21.696
say,21.696,22.072
I,22.072,22.448
built,22.448,22.824
parts,22.824,23.2
of,23.2,23.576
"things,",23.576,23.952
stitched,23.952,24.328
services,24.328,24.704
"together,",24.704,25.08
and,25.08,25.56
occasionally,25.56,26.04
owned,26.04,26.52
a,26.52,27.0
small,27.0,27.48
feature.,27.48,27.96
Sometimes,28.0,28.4133
I,28.4133,28.8267
talk,28.8267,29.24
about,29.24,29.6533
entire,29.6533,30.0667
projects,30.0667,30.48
because,30.48,30.76
it's,30.76,31.04
simpler,31.04,31.32
to,31.32,31.6
tell,31.6,31.88
a,31.88,32.16
story,32.16,32.44
than,32.44,32.8267
to,32.8267,33.2133
read,33.2133,33.6
the,33.6,33.9867
commit,33.9867,34.3733
history.,34.3733,34.76
It,34.76,35.2133
gets,35.2133,35.6667
messy.,35.6667,36.12
