word,start,end
"So,",0.0,0.5
I,0.5,1.0
"mean,",1.0,1.5
I've,1.5,2.0
been,2.0,2.5
around,2.5,3.0
code,3.0,3.5
for,3.5,4.0
a,4.0,4.5
while.,4.5,5.0
You,6.28,6.64
"know,",6.64,7.0
not,7.0,7.36
exactly,7.36,7.72
six,7.72,8.08
"years,",8.08,8.44
more,8.44,8.8667
like,8.8667,9.2933
something,9.2933,9.72
that,9.72,10.1467
adds,10.1467,10.5733
up,10.5733,11.0
if,11.0,11.2629
you,11.2629,11.5257
count,11.5257,11.7886
all,11.7886,12.0514
the,12.0514,12.3143
little,12.3143,12.5771
gigs.,12.5771,12.84
I,14.16,14.4444
did,14.4444,14.7289
a,14.7289,15.0133
lot,15.0133,15.2978
of,15.2978,15.5822
"debugging,",15.5822,15.8667
sometimes,15.8667,16.1511
full,16.1511,16.4356
"modules,",16.4356,16.72
sometimes,16.72,17.2375
just,17.2375,17.755
"fixes,",17.755,18.2725
little,18.2725,18.79
patches,18.79,19.3075
here,19.3075,19.825
and,19.825,20.3425
there.,20.3425,20.86
People,22.48,22.7073
say,22.7073,22.9345
"lead,",22.9345,23.1618
but,23.1618,23.3891
I,23.3891,23.6164
think,23.6164,23.8436
it's,23.8436,24.0709
easier,24.0709,24.2982
to,24.2982,24.5255
say,24.5255,24.7527
that,24.7527,24.98
than,24.98,25.23
to,25.23,25.48
explain,25.48,25.73
all,25.73,25.98
the,25.98,26.23
back,26.23,26.48
and,26.48,26.73
forth.,26.73,26.98
It's,28.12,28.76
complicated.,28.76,29.4
Maybe,30.0,30.3333
three-ish,30.3333,30.6667
if,30.6667,31.0
you,31.0,31.3333
only,31.3333,31.6667
count,31.6667,32.0
the,32.0,32.3333
proper,32.3333,32.6667
stuff.,32.6667,33.0
