word,start,end
As,0.0,0.556
I,0.556,1.112
always,1.112,1.668
"say,",1.668,2.224
I,2.224,2.78
handle,2.78,3.336
the,3.336,3.892
full,3.892,4.448
life,4.448,5.004
cycle.,5.004,5.56
You,5.56,5.92
know,5.92,6.28
that,6.28,6.64
"line,",6.64,7.0
right?,7.0,7.36
I,7.36,7.7733
"design,",7.7733,8.1867
I,8.1867,8.6
"implement,",8.6,9.0133
I,9.0133,9.4267
ship.,9.4267,9.84
"Well,",9.84,10.43
I,10.43,11.02
help,11.02,11.61
design.,11.61,12.2
I,12.2,12.98
implement,12.98,13.76
certain,13.76,14.54
components.,14.54,15.32
And,15.32,15.96
I,15.96,16.6
ship,16.6,17.24
some,17.24,17.88
features.,17.88,18.52
The,18.52,18.96
life,18.96,19.4
cycle,19.4,19.84
is,19.84,20.28
a,20.28,20.72
team,20.72,21.16
thing.,21.16,21.6
So,21.6,22.0229
when,22.0229,22.4457
I,22.4457,22.8686
say,22.8686,23.2914
I,23.2914,23.7143
handled,23.7143,24.1371
"it,",24.1371,24.56
I,24.56,24.9829
mean,24.9829,25.4057
I,25.4057,25.8286
handled,25.8286,26.2514
part,26.2514,26.6743
of,26.6743,27.0971
it.,27.0971,27.52
It's,27.52,27.8686
cleaner,27.8686,28.2171
to,28.2171,28.5657
tell,28.5657,28.9143
it,28.9143,29.2629
like,29.2629,29.6114
that.,29.6114,29.96
