word,start,end
Right.,0.0,0.7829
Six,0.7829,1.5657
years.,1.5657,2.3486
Absolutely.,2.3486,3.1314
"Well,",3.1314,3.9143
six,3.9143,4.6971
if,4.6971,5.48
you,5.48,6.2629
group,6.2629,7.0457
internships,7.0457,7.8286
and,7.8286,8.6114
tiny,8.6114,9.3943
consults,9.3943,10.1771
together.,10.1771,10.96
"No,",11.92,12.4
"actually,",12.4,12.88
three,12.88,13.36
full,13.36,13.84
time.,13.84,14.32
Maybe,14.32,14.8
four,14.8,15.28
counting,15.28,15.76
freelance.,15.76,16.24
"So,",17.76,18.2114
I,18.2114,18.6629
led,18.6629,19.1143
some,19.1143,19.5657
sprints.,19.5657,20.0171
I,20.0171,20.4686
mean,20.4686,20.92
I,20.92,21.3714
coordinated.,21.3714,21.8229
Coordinated,21.8229,22.2743
is,22.2743,22.7257
different,22.7257,23.1771
from,23.1771,23.6286
led.,23.6286,24.08
And,24.08,24.5506
sometimes,24.5506,25.0212
I,25.0212,25.4918
was,25.4918,25.9624
the,25.9624,26.4329
only,26.4329,26.9035
one,26.9035,27.3741
who,27.3741,27.8447
merged,27.8447,28.3153
the,28.3153,28.7859
final,28.7859,29.2565
branch.,29.2565,29.7271
"Sorry,",29.7271,30.1976
that,30.1976,30.6682
came,30.6682,31.1388
out,31.1388,31.6094
awkward.,31.6094,32.08
