start,end,is_speech
0.0,0.12,False
0.12,0.3,True
0.3,0.48,False
0.48,2.58,True
2.58,2.79,False
2.79,4.92,True
4.92,5.31,False
5.31,6.78,True
6.78,6.93,False
6.93,7.02,True
7.02,7.32,False
7.32,9.42,True
9.42,9.75,False
9.75,10.26,True
10.26,10.59,False
10.59,11.82,True
11.82,12.09,False
12.09,12.18,True
12.18,12.21,False
12.21,12.96,True
12.96,13.05,False
13.05,14.67,True
14.67,15.15,False
15.15,16.62,True
16.62,17.04,False
17.04,17.88,True
17.88,18.15,False
18.15,18.24,True
18.24,18.48,False
18.48,19.68,True
19.68,19.74,False
19.74,21.15,True
21.15,21.42,False
21.42,22.71,True
22.71,22.89,False
22.89,24.0,True
24.0,24.12,False
24.12,24.81,True
24.81,25.11,False
25.11,26.58,True
26.58,27.33,False
27.33,27.72,True
27.72,27.78,False
27.78,29.7,True
29.7,29.88,False
29.88,31.92,True
